journey_id,annotator,annotation
9cd6cd52-54c5-11ec-ae0a-0d030544d074,3,Both are the same
e082d4b5-5932-11ec-8850-c155283d1094,3,They differ
1c4352c2-5acf-11ec-8cd8-31770dca897a,2,They differ
1c4352c2-5acf-11ec-8cd8-31770dca897a,7,They differ
57a007c3-5a7d-11ec-82d9-ffcc0820fa8d,1,They differ
57a007c3-5a7d-11ec-82d9-ffcc0820fa8d,7,They differ
a629ccf4-56fb-11ec-9f3b-97958b4887d3,1,I don't know
a629ccf4-56fb-11ec-9f3b-97958b4887d3,3,Both are the same
a629ccf4-56fb-11ec-9f3b-97958b4887d3,7,Both are the same
d21ec8f8-5b5e-11ec-98f4-cd0eec677407,1,They differ
d21ec8f8-5b5e-11ec-98f4-cd0eec677407,7,Both are the same
2495a92d-5a64-11ec-9ccd-2d8a40c67ac3,8,They differ
fb9ac7fe-575e-11ec-bc9f-cda15011d49f,7,Both are the same
fb9ac7fe-575e-11ec-bc9f-cda15011d49f,1,Both are the same
b48a1144-5612-11ec-b555-a73f21d4e400,2,Both are the same
09a6e821-59c7-11ec-bfaa-75d829fc4fca,1,They differ
831b0cfa-527e-11ec-9761-09e60ea41960,6,They differ
40331c00-584d-11ec-b479-6db0821bba7b,3,Both are the same
62e44d90-52bd-11ec-b042-ede3b9349c0e,1,Both are the same
29d36d93-54d2-11ec-8441-49bf1ef09fb8,2,Both are the same
29d36d93-54d2-11ec-8441-49bf1ef09fb8,6,Both are the same
6085746e-5c42-11ec-add1-73b921b38a39,6,They differ
c7bc1fa3-5ac3-11ec-b7b0-31495e7bccda,8,They differ
c7bc1fa3-5ac3-11ec-b7b0-31495e7bccda,3,They differ
03fd1458-5a55-11ec-91dc-71d34fe28bfc,4,Both are the same
cbda4e02-5cf4-11ec-8633-878f0396463d,3,They differ
e5a542dc-5472-11ec-9f67-6f7529cfbd53,2,They differ
4ca3e592-5a22-11ec-abd4-a3573b677adf,1,Both are the same
0d28a1f2-5ac0-11ec-8afd-d15da162380e,3,They differ
0d28a1f2-5ac0-11ec-8afd-d15da162380e,1,They differ
6fe9bcf6-539e-11ec-b728-8702847cce85,7,They differ
6fe9bcf6-539e-11ec-b728-8702847cce85,8,They differ
7c83220e-59f9-11ec-9582-c7f3fbd5bd7f,4,Both are the same
7c83220e-59f9-11ec-9582-c7f3fbd5bd7f,8,Both are the same
cfdce3a4-5aaa-11ec-b6e5-b5e188cadcb7,8,They differ
cfdce3a4-5aaa-11ec-b6e5-b5e188cadcb7,4,They differ
684def87-54be-11ec-a06a-7b184976bba8,7,Both are the same
1477d2a4-5ae1-11ec-b250-f19beebeecd6,4,Both are the same
1477d2a4-5ae1-11ec-b250-f19beebeecd6,2,Both are the same
ab96bc26-5b78-11ec-8b35-1b51f941ab9b,2,Both are the same
878553b4-5543-11ec-8511-9950cc15bf2f,1,I don't know
878553b4-5543-11ec-8511-9950cc15bf2f,2,Both are the same
2f4c81a8-5368-11ec-a96d-c97919ab4a45,2,Both are the same
2f4c81a8-5368-11ec-a96d-c97919ab4a45,3,Both are the same
ff418b45-5aec-11ec-afa9-018e9fa82b18,3,They differ
8d20bc8b-5baf-11ec-996e-5dc39a571660,7,Both are the same
f58db8d5-5369-11ec-9d70-d956b4e3f922,3,Both are the same
f58db8d5-5369-11ec-9d70-d956b4e3f922,3,Both are the same
c82b27b0-584d-11ec-9523-2730a41ef151,2,They differ
c82b27b0-584d-11ec-9523-2730a41ef151,7,They differ
0e704b92-5961-11ec-b172-1dab89a38398,7,Both are the same
496b4bfd-5b07-11ec-9ab6-33834486a386,2,Both are the same
496b4bfd-5b07-11ec-9ab6-33834486a386,2,They differ
5cb61210-5447-11ec-9ed0-9f25ab037932,8,They differ
5cb61210-5447-11ec-9ed0-9f25ab037932,3,They differ
6207bd76-5646-11ec-b885-63e8d90b935c,6,I don't know
373a471e-5a81-11ec-91dd-5bc5b02927af,3,Both are the same
373a471e-5a81-11ec-91dd-5bc5b02927af,7,Both are the same
0524068e-52e8-11ec-87d8-01fb5684af49,2,Both are the same
0524068e-52e8-11ec-87d8-01fb5684af49,2,Both are the same
8888e1c8-571e-11ec-b5bd-875b7e183cb7,7,Both are the same
8888e1c8-571e-11ec-b5bd-875b7e183cb7,2,Both are the same
8888e1c8-571e-11ec-b5bd-875b7e183cb7,3,Both are the same
8888e1c8-571e-11ec-b5bd-875b7e183cb7,1,Both are the same
6bb630ee-589b-11ec-8b11-fb3b5d5fb9ef,2,They differ
6bb630ee-589b-11ec-8b11-fb3b5d5fb9ef,3,They differ
1d4c6f49-567a-11ec-9181-e98e6455ce51,3,Both are the same
2a5766ad-5578-11ec-9d4a-ddbd80894cb8,2,Both are the same
2a5766ad-5578-11ec-9d4a-ddbd80894cb8,3,Both are the same
0d86bb3a-5678-11ec-b657-191c8953477c,6,They differ
2c013625-575b-11ec-8c14-d9c690d44ede,7,Both are the same
2c013625-575b-11ec-8c14-d9c690d44ede,5,I don't know
182f87e2-53ca-11ec-ba83-d7e85de5e963,2,Both are the same
182f87e2-53ca-11ec-ba83-d7e85de5e963,2,They differ
5b7b80f2-5893-11ec-bac9-65630deb6bd4,2,They differ
5b7b80f2-5893-11ec-bac9-65630deb6bd4,2,They differ
57d4bd64-546f-11ec-ac94-4bbacf59c2b4,1,They differ
f2887f90-53c4-11ec-b8ee-29be92243db4,8,They differ
4cc903e4-5a6e-11ec-b347-e1e81d9998ac,2,They differ
4cc903e4-5a6e-11ec-b347-e1e81d9998ac,7,I don't know
4e8e8af6-5293-11ec-8c4e-a530069418df,7,Both are the same
36aef749-5ab1-11ec-bfb9-2f2e158b6611,2,I don't know
b5e38ab5-5aa3-11ec-90c5-877a962a2933,2,They differ
5e1495d6ab1044db9af2e3941686a6f5,2,They differ
1bc54ac1-5a84-11ec-8809-65cf23263317,2,Both are the same
1bc54ac1-5a84-11ec-8809-65cf23263317,8,Both are the same
938f6597-5c50-11ec-ac6f-c73cae69f5d9,7,They differ
c74a80d0-59d4-11ec-9275-67c32b7aabb4,4,They differ
cd4f8788-54b3-11ec-a617-15108cb01aab,1,Both are the same
cd4f8788-54b3-11ec-a617-15108cb01aab,3,Both are the same
d9b2db39-58f2-11ec-a6f1-5937b36f3cbe,7,They differ
d9b2db39-58f2-11ec-a6f1-5937b36f3cbe,2,They differ
ea296bb0-527f-11ec-a173-9dd6bc77a7d7,7,Both are the same
ea296bb0-527f-11ec-a173-9dd6bc77a7d7,8,Both are the same
e9a57bf3-5d17-11ec-91ff-b94c7c04a217,8,They differ
8c4bed92-5998-11ec-a4e1-09b891b70cd6,1,They differ
d11ee0be-5c0b-11ec-87c7-e5c7a32a97a9,2,They differ
d11ee0be-5c0b-11ec-87c7-e5c7a32a97a9,2,They differ
57d4ea52-5734-11ec-8840-b9afd2d20133,5,They differ
86f3577d-5611-11ec-b48a-11f2eb8cb191,7,Both are the same
86f3577d-5611-11ec-b48a-11f2eb8cb191,1,Both are the same
50940d80-58dd-11ec-9105-0dc3da94e4dc,3,I don't know
1aa096b2-5ac7-11ec-ab9e-05d0e53e9a0c,1,Both are the same
02aef194-58eb-11ec-9e38-d9ab59a9e7bc,2,I don't know
02aef194-58eb-11ec-9e38-d9ab59a9e7bc,7,Both are the same
00aea878-5b19-11ec-8e6d-d94b5a1ddf20,6,Both are the same
a6de39a4-5493-11ec-91ea-b19db0e5b7f3,4,They differ
a6de39a4-5493-11ec-91ea-b19db0e5b7f3,6,They differ
7781eb31-5481-11ec-a3ec-e10aef784421,2,They differ
7781eb31-5481-11ec-a3ec-e10aef784421,7,Both are the same
c8bb6d86-5774-11ec-8d80-35cfab13d9d5,8,They differ
893957dc-58ee-11ec-8ccc-8565b49e0350,3,They differ
ee814786-5643-11ec-9461-07dd9f3ea8f9,8,Both are the same
ee814786-5643-11ec-9461-07dd9f3ea8f9,7,Both are the same
ddd10e31-563a-11ec-9d23-c93162b818e2,7,They differ
37bb8fce-5c0a-11ec-9bca-758ad423f405,8,They differ
dcc93800-53d0-11ec-af88-a776865d5afe,8,Both are the same
8c88558a-5572-11ec-907f-dbad15afcb2a,3,Both are the same
8c88558a-5572-11ec-907f-dbad15afcb2a,1,Both are the same
4f9a58f1-5296-11ec-a1cd-f397ec11b357,3,They differ
617a128c-5385-11ec-b189-a1e35751ab56,2,They differ
a9347932-5965-11ec-8c78-17a9c7f932c3,6,They differ
66f97338-5489-11ec-9e13-a31984269ffb,6,They differ
2e5da850-5a3c-11ec-a5c3-a334270f65b0,7,Both are the same
2e5da850-5a3c-11ec-a5c3-a334270f65b0,7,Both are the same
fd444f69-5364-11ec-a1ee-290664f0ded7,7,They differ
fd444f69-5364-11ec-a1ee-290664f0ded7,1,They differ
fd444f69-5364-11ec-a1ee-290664f0ded7,1,They differ
67416bf792584f4ba66d9999a61bdf0f,1,Both are the same
67416bf792584f4ba66d9999a61bdf0f,8,Both are the same
2e748005-5318-11ec-8f0d-531078cbe163,7,Both are the same
74fabc35-560f-11ec-8b7e-4f4454ba8a48,4,Both are the same
147ca028-5419-11ec-b149-8fc9e8914068,6,They differ
941de6f4-5787-11ec-930f-1973040b26e6,7,Both are the same
ae3128ad-5c0d-11ec-a698-b7dba189e880,1,They differ
cbed59f8-545c-11ec-87bc-2de6eb11c621,1,They differ
cbed59f8-545c-11ec-87bc-2de6eb11c621,2,They differ
19c03776-56fc-11ec-a11d-2757b762a144,7,They differ
19c03776-56fc-11ec-a11d-2757b762a144,2,They differ
a848e935-524e-11ec-aa1f-55ea7fc79a3f,8,Both are the same
536ca174-5302-11ec-a751-b73520f6d8d3,1,Both are the same
e471812b-5430-11ec-bdd6-290b07400eb3,7,Both are the same
9e84cac8-5c9a-11ec-92d0-015f92a4f960,3,Both are the same
e85a93e7-5962-11ec-a530-b5e372eb98cf,6,Both are the same
e85a93e7-5962-11ec-a530-b5e372eb98cf,2,Both are the same
ffe4b30e-5c82-11ec-b3d0-7b79b3dcaa49,2,They differ
ffe4b30e-5c82-11ec-b3d0-7b79b3dcaa49,6,They differ
8055ff86-5a33-11ec-a637-61851fa8f5d6,1,Both are the same
8055ff86-5a33-11ec-a637-61851fa8f5d6,7,Both are the same
37e48a08-52ac-11ec-81da-29bb916b1424,1,Both are the same
37e48a08-52ac-11ec-81da-29bb916b1424,6,Both are the same
a2be47ab-59be-11ec-af1f-c9903dfb11ed,2,They differ
24956894-53da-11ec-a7f3-d3bb6d94d184,6,They differ
78552e1a-57ef-11ec-a1e0-39abf25b883c,6,Both are the same
ba997292-5763-11ec-ae2b-5f91d0f9a231,3,Both are the same
5ac89b16-5aab-11ec-be57-d1654034184a,1,Both are the same
5ac89b16-5aab-11ec-be57-d1654034184a,2,Both are the same
49cc28ae-587f-11ec-98db-8bf8e6cc6573,8,Both are the same
3f1ffc7d-5927-11ec-ae64-bd9fae0bf9d3,3,Both are the same
3f1ffc7d-5927-11ec-ae64-bd9fae0bf9d3,2,Both are the same
56215090-57ad-11ec-b81a-51e9d9e83beb,2,Both are the same
1808fdbe-594f-11ec-b349-59582bb0431f,3,Both are the same
1808fdbe-594f-11ec-b349-59582bb0431f,8,Both are the same
1808fdbe-594f-11ec-b349-59582bb0431f,7,Both are the same
96ed3287-58a8-11ec-8192-f93c0db2477c,2,They differ
9bb3f8d7-58e9-11ec-9ce2-dfe9c6ecf4d6,2,Both are the same
9bb3f8d7-58e9-11ec-9ce2-dfe9c6ecf4d6,7,Both are the same
4f486a75-5762-11ec-b6e5-d35714b4aa30,7,They differ
4f486a75-5762-11ec-b6e5-d35714b4aa30,6,They differ
b8826014-540e-11ec-b927-7d787a3d910f,4,Both are the same
e50f1f86-539c-11ec-bcc3-dde588a8325e,2,Both are the same
23adb947-54a4-11ec-88c2-0b19b3880fc0,2,I don't know
11670a8c-583c-11ec-809e-d17556609952,3,Both are the same
5c49fec7-5a41-11ec-b14f-45b6a3d735b3,2,They differ
5c49fec7-5a41-11ec-b14f-45b6a3d735b3,2,They differ
9193b04a-5537-11ec-b2da-7b5de191c864,4,Both are the same
9193b04a-5537-11ec-b2da-7b5de191c864,1,They differ
11a4d8e8-5c83-11ec-94dd-0b6110c57aa7,3,They differ
5c302e26-5897-11ec-b0f0-e31eb927b277,7,Both are the same
5c302e26-5897-11ec-b0f0-e31eb927b277,6,Both are the same
8c81f370-5ae5-11ec-8b76-91fa033ee54d,2,They differ
beaab7f1-5d0d-11ec-83df-43842d8433e1,1,They differ
beaab7f1-5d0d-11ec-83df-43842d8433e1,8,They differ
e9d104a5-5363-11ec-854b-8fcb46f1a28d,8,Both are the same
9f504b00-5626-11ec-ae4d-d7da2c7298ba,2,They differ
9f504b00-5626-11ec-ae4d-d7da2c7298ba,2,Both are the same
24e2a579-5ae0-11ec-8632-7da3475d8ea0,1,They differ
24e2a579-5ae0-11ec-8632-7da3475d8ea0,6,I don't know
24e2a579-5ae0-11ec-8632-7da3475d8ea0,2,Both are the same
56c27c16-5b88-11ec-bc7a-1739a05d90a8,1,They differ
1ab8a781-591f-11ec-90d9-395ca70b5572,3,They differ
1624c712-57c7-11ec-9490-1727487d0ddc,7,They differ
32ec666c-5928-11ec-9949-c5b17403572e,7,Both are the same
2706558d-53e7-11ec-9a0a-2999a4724133,6,Both are the same
c7822d4e-5cf4-11ec-b1ca-e594334a0572,7,They differ
dc234308-54ae-11ec-98e9-7dbd21758281,2,They differ
aaaf396b-5a01-11ec-9030-33d28dcadfb5,1,They differ
4c751adf-5baf-11ec-b0df-9f9a74b7ec6b,8,They differ
4b23f748-57de-11ec-91dc-ef47de141275,8,They differ
4b23f748-57de-11ec-91dc-ef47de141275,2,I don't know
01e42688-52bc-11ec-a4ea-7f279561acd8,2,Both are the same
ed89075a-545d-11ec-bb46-8d64d64e15a6,7,They differ
ed89075a-545d-11ec-bb46-8d64d64e15a6,7,They differ
41ec804c-5521-11ec-bf0f-411c7d152148,1,They differ
22fc5f1f-5877-11ec-87ed-6ba95e2f70eb,2,They differ
9b36a8df-5d20-11ec-ab3a-6dfa866193f5,1,Both are the same
9b36a8df-5d20-11ec-ab3a-6dfa866193f5,2,Both are the same
a49199a4-576d-11ec-9605-dfcbdfde924e,2,Both are the same
4efdadec-5cd5-11ec-ad1f-e73b8f1996e8,2,They differ
5eb53fb8-56c8-11ec-a873-3dacddac7a86,1,They differ
fbee26ba-5569-11ec-886b-89642509fb3b,8,Both are the same
8ffc2b86-5577-11ec-8cd9-a5dbd7a4cebc,7,Both are the same
8ffc2b86-5577-11ec-8cd9-a5dbd7a4cebc,7,Both are the same
d5ade54e-5b31-11ec-94e3-8f79269881d1,7,Both are the same
c189f218-53b8-11ec-a994-a715ca3b97fc,1,They differ
c189f218-53b8-11ec-a994-a715ca3b97fc,6,They differ
c189f218-53b8-11ec-a994-a715ca3b97fc,7,They differ
367657ce-5900-11ec-a746-570214459763,2,They differ
367657ce-5900-11ec-a746-570214459763,1,I don't know
6a3d5668-59b5-11ec-a671-4907e490cac6,4,I don't know
1e5a4499-55d5-11ec-bb34-ddfff5365f97,2,They differ
1e5a4499-55d5-11ec-bb34-ddfff5365f97,7,They differ
1e5a4499-55d5-11ec-bb34-ddfff5365f97,1,They differ
4cbacd20-5ba3-11ec-969a-a18b471a05c1,2,They differ
954c6d2a-53a4-11ec-87e2-91a04ebcf0de,3,Both are the same
954c6d2a-53a4-11ec-87e2-91a04ebcf0de,7,Both are the same
5f0149be-5626-11ec-b3f3-dbbc8ead2aea,2,Both are the same
f04d4986-5d1a-11ec-9ffc-95de461bce3e,6,They differ
be529bf0-5a6e-11ec-868a-736ccf9def10,7,They differ
1d2e0acc-5315-11ec-85b7-9564fa315ec6,7,Both are the same
d21d41ad-5270-11ec-8a7d-5dff55c3194a,7,Both are the same
f9994c1c-5786-11ec-bc85-21ff67ffa8e2,7,They differ
f9994c1c-5786-11ec-bc85-21ff67ffa8e2,8,They differ
170d552d-575c-11ec-aebb-1bfbd9ce30f2,2,They differ
170d552d-575c-11ec-aebb-1bfbd9ce30f2,7,They differ
edbfe1da-5273-11ec-afc5-251593e3718b,1,Both are the same
edbfe1da-5273-11ec-afc5-251593e3718b,7,Both are the same
430bbe0d-53bd-11ec-ab52-473e388fcb0d,7,They differ
7574df22-57c5-11ec-bb5f-c1a9b20d7c0c,8,They differ
cd19e570-59d0-11ec-99d8-65b216e0c781,1,They differ
ef4eeece-5ce1-11ec-ae7f-d785ad94e824,2,They differ
0e6991d9-5c19-11ec-a733-9b5f819eb4bd,2,They differ
0e6991d9-5c19-11ec-a733-9b5f819eb4bd,2,They differ
da0fbda5-5946-11ec-be9b-d9a86003cce2,7,They differ
da0fbda5-5946-11ec-be9b-d9a86003cce2,7,They differ
3b2e20e6-579a-11ec-8847-3581864a017a,1,Both are the same
3b2e20e6-579a-11ec-8847-3581864a017a,1,Both are the same
a7cca1f6-5bfa-11ec-9cef-ab467183c8da,8,They differ
7e4aa683-5a69-11ec-a5d3-7bef664a6a56,2,Both are the same
7e4aa683-5a69-11ec-a5d3-7bef664a6a56,8,Both are the same
4cb101ca-584f-11ec-adf6-8914f0bf7f16,1,Both are the same
5fca5ad0-59f1-11ec-9f08-37486928c9de,8,They differ
5fca5ad0-59f1-11ec-9f08-37486928c9de,3,They differ
5fca5ad0-59f1-11ec-9f08-37486928c9de,6,They differ
7a400df1-57e8-11ec-81c8-a9212cec5b15,4,Both are the same
11a5590c-58d4-11ec-acb7-07daec1c071b,1,They differ
21e332ac-5ce0-11ec-b3b2-99c24f432852,1,They differ
8a1c3c96-5530-11ec-8db5-dd024b46ea74,1,Both are the same
8a1c3c96-5530-11ec-8db5-dd024b46ea74,1,Both are the same
2863ab42-52c8-11ec-a2a5-45c15cad93fe,6,Both are the same
2863ab42-52c8-11ec-a2a5-45c15cad93fe,8,Both are the same
1ff004a2-5290-11ec-a0a4-d9b7ec5f2e7f,1,They differ
1ff004a2-5290-11ec-a0a4-d9b7ec5f2e7f,2,They differ
ba272764-5832-11ec-96a9-49f7029021e1,8,They differ
ba272764-5832-11ec-96a9-49f7029021e1,3,They differ
62614adc-535d-11ec-a426-4924b9ba9c55,2,Both are the same
4ba0e2c8-59f4-11ec-a6fe-bbfc1defb6b8,2,I don't know
4ba0e2c8-59f4-11ec-a6fe-bbfc1defb6b8,1,They differ
a93ad0f6-5368-11ec-af2a-b70b8ab034af,7,Both are the same
a8246476-567d-11ec-b263-7520b199eebb,8,Both are the same
a8246476-567d-11ec-b263-7520b199eebb,2,Both are the same
a8246476-567d-11ec-b263-7520b199eebb,3,Both are the same
5080de8c-590e-11ec-a3a4-31be79ccf1c9,7,They differ
dd52ca2c-5b0f-11ec-b068-4d7bebd146d4,7,They differ
c962e8d9-59e8-11ec-8575-1fac4c9357b9,2,They differ
c962e8d9-59e8-11ec-8575-1fac4c9357b9,2,They differ
9092b235-5aa1-11ec-9d41-b38faeae68a6,8,Both are the same
9092b235-5aa1-11ec-9d41-b38faeae68a6,2,Both are the same
9092b235-5aa1-11ec-9d41-b38faeae68a6,7,Both are the same
3613a800-5b03-11ec-ba78-8be34541da37,2,They differ
3613a800-5b03-11ec-ba78-8be34541da37,3,They differ
1447aabb-5376-11ec-ba8f-7d834ad9612d,8,I don't know
dd88ea3c-5917-11ec-8d9a-bffacd14f976,1,They differ
